index,fold1,fold2,fold3,fold4,fold5,mean_fold,acc1,acc2,acc3,acc4,acc5,mean_acc
34,0.06926210969686508,0.06888068467378616,0.06171005591750145,0.07448725402355194,0.05130686238408089,0.0651293933391571,0.9726505875587463,0.9723595976829529,0.9755600690841675,0.9741052985191345,0.9778876900672913,0.9745126485824585
38,0.14337019622325897,0.01167190633714199,0.17800873517990112,0.08454528450965881,0.33985280990600586,0.15148978643119335,0.949307382106781,0.9992388486862183,0.948850691318512,0.9663571119308472,0.9234282374382019,0.957436454296112
39,0.1632528454065323,0.0673385038971901,0.11600397527217865,0.08520910888910294,0.15556968748569489,0.11747482419013977,0.9475395679473877,0.9717194437980652,0.9633767008781433,0.9684671759605408,0.9613970518112183,0.962499988079071
40,0.09871874749660492,0.055520135909318924,0.09357725828886032,0.03726360201835632,0.06459123641252518,0.06993419602513314,0.9765970706939697,0.9897533059120178,0.9797596335411072,0.9936116337776184,0.9871600270271301,0.9853763341903686
42,0.6847583055496216,0.48775216937065125,0.1102878749370575,0.057875942438840866,0.0340275764465332,0.27494037374854086,0.5730818510055542,0.7821117043495178,0.9705672264099121,0.9894270896911621,0.9964280724525452,0.8623231887817383
43,2.1943728923797607,0.1583285629749298,3.435603866819292e-05,9.383073120261542e-06,9.45803003560286e-06,0.4705509304993029,0.5704467296600342,0.9364261031150818,1.0,1.0,1.0,0.9013745665550232
47,0.8277561068534851,0.6672666668891907,0.5814025402069092,0.5883915424346924,0.6599850058555603,0.6649603724479676,0.2623211443424225,0.6305246353149414,0.8368839621543884,0.7357710599899292,0.6282988786697388,0.618759936094284
48,0.1673102080821991,0.10282876342535019,0.1459457278251648,0.08843636512756348,0.09480398893356323,0.11986501067876816,0.9479418992996216,0.9737691879272461,0.9677159190177917,0.9745762944221497,0.974979817867279,0.9677966237068176
49,0.0762961134314537,0.016020620241761208,0.027480510994791985,0.013634893111884594,0.031168457120656967,0.03292011898010969,0.9698795080184937,0.9939758777618408,0.9879518151283264,0.9939758777618408,0.9879518151283264,0.9867469787597656
50,0.043038539588451385,0.4007837176322937,0.002944466657936573,0.029040051624178886,0.0651835948228836,0.10819807406514884,0.9886363744735718,0.8636363744735718,1.0,0.9886363744735718,0.9772727489471436,0.9636363744735718
51,0.38621434569358826,0.21408532559871674,0.37741246819496155,0.021410802379250526,0.2339867353439331,0.24662193544209005,0.8965517282485962,0.931034505367279,0.8275862336158752,1.0,0.931034505367279,0.9172413945198059
52,0.4912815988063812,0.6491750478744507,0.02699976973235607,0.01073436625301838,0.007430132012814283,0.23712418293580412,0.8048780560493469,0.6829268336296082,1.0,1.0,1.0,0.897560977935791
53,0.26111727952957153,0.15569902956485748,0.13239845633506775,0.2027963101863861,0.20762178301811218,0.191926571726799,0.916202187538147,0.9411877989768982,0.951758623123169,0.9254276156425476,0.9311935305595398,0.9331539511680603
54,4.902501071768484e-09,4.946593828991652e-11,3.9344096183776855,0.16143760085105896,0.05864387005567551,0.8308982188472773,1.0,1.0,0.6466646790504456,0.9506188035011292,0.9794747829437256,0.9153516530990601
56,0.07114530354738235,0.0729670375585556,0.1164386197924614,0.09356741607189178,0.02903549186885357,0.07663077376782894,0.9887955188751221,0.9807923436164856,0.9255702495574951,0.9539815783500671,0.9915966391563416,0.9681472659111023
57,0.0749923512339592,0.14847418665885925,0.057934701442718506,0.05913294851779938,0.037150610238313675,0.07553695961833,0.9789347648620605,0.9431409239768982,0.9813324213027954,0.9825312495231628,0.9868128299713135,0.974550437927246
60,0.34335678815841675,0.26097673177719116,0.20278701186180115,0.18854467570781708,0.22939808666706085,0.2450126588344574,0.871345043182373,0.9298245906829834,0.9356725215911865,0.9415204524993896,0.9356725215911865,0.9228070259094239
64,0.006923971232026815,0.008352461270987988,0.0035801492631435394,0.710576057434082,0.32637524604797363,0.2111615770496428,1.0,1.0,1.0,0.5,0.8333333134651184,0.8666666626930237
66,1.3002871128264815e-05,0.011337576434016228,7.1732964515686035,2.279278760397574e-06,1.6874048469617264e-06,1.4369301995114712,1.0,0.9985344409942627,0.0,1.0,1.0,0.7997068881988525
