index,fold1,fold2,fold3,fold4,fold5,mean_fold,acc1,acc2,acc3,acc4,acc5,mean_acc
34,0.10533533245325089,0.09947576373815536,0.07032187283039093,0.060964375734329224,0.04216013103723526,0.07565149515867234,0.963350772857666,0.9624781608581543,0.9723676443099976,0.9770215153694153,0.9825479984283447,0.9715532183647155
35,0.537300169467926,0.5360193848609924,0.5365891456604004,0.537248969078064,0.5363560914993286,0.5367027521133423,0.7716285586357117,0.7726681232452393,0.7721912264823914,0.7716667056083679,0.7723915576934814,0.7721092343330384
38,0.16849415004253387,0.03538554534316063,0.1923370510339737,0.11075430363416672,0.2952636480331421,0.1604469396173954,0.9385083913803101,0.992694079875946,0.9086757898330688,0.9770167469978333,0.9229832291603088,0.9479756474494934
39,0.23732171952724457,0.16064998507499695,0.13177376985549927,0.14479564130306244,0.16446112096309662,0.16780044734477997,0.9151703715324402,0.9534850716590881,0.9632405042648315,0.9582920670509338,0.943446934223175,0.9467269897460937
40,0.09911610186100006,0.05240762233734131,0.09404794126749039,0.03697064518928528,0.06351596862077713,0.06921165585517883,0.9762823581695557,0.9897539615631104,0.9797609448432922,0.9936120510101318,0.987160861492157,0.9853140354156494
41,0.025661800056695938,0.03881382197141647,0.034814052283763885,0.03668813034892082,0.004861382767558098,0.028167837485671043,0.996071457862854,0.993571400642395,0.994357168674469,0.9940000176429749,0.9983928799629211,0.9952785849571228
42,0.6829490065574646,0.6827827095985413,0.715287446975708,0.6126397252082825,0.5312580466270447,0.6449833869934082,0.5714285969734192,0.574999988079071,0.5248571634292603,0.663428544998169,0.7382857203483582,0.6146000027656555
43,1.2911779880523682,0.5994318127632141,0.56441730260849,0.04630052670836449,0.3512033224105835,0.5705061905086041,0.5711835622787476,0.6963979601860046,0.7015437483787537,0.9982847571372986,0.9125214219093323,0.7759862899780273
47,0.8433380126953125,0.6690797805786133,0.5844916105270386,0.5889648199081421,0.6605350971221924,0.6692818641662598,0.2623211443424225,0.6305246353149414,0.8368839621543884,0.7357710599899292,0.6282988786697388,0.618759936094284
48,0.16399556398391724,0.10545475035905838,0.15478409826755524,0.089125856757164,0.100429967045784,0.12275804728269576,0.9479628801345825,0.9588543772697449,0.9620814919471741,0.9762001037597656,0.9753932952880859,0.9640984296798706
49,0.06142174080014229,0.08802587538957596,0.03750475496053696,0.007333623245358467,0.09693453460931778,0.05824410580098629,0.9939758777618408,0.9698795080184937,0.9939758777618408,1.0,0.9698795080184937,0.9855421543121338
50,0.003787218825891614,0.27137690782546997,0.031394798308610916,0.02485794387757778,0.0665908232331276,0.07960153841413557,1.0,0.932584285736084,0.9887640476226807,0.9887640476226807,0.9887640476226807,0.9797752857208252
51,0.43528175354003906,0.14649908244609833,0.48695164918899536,0.06151950731873512,0.5791622996330261,0.3418828584253788,0.8666666746139526,0.9666666388511658,0.8333333134651184,0.9666666388511658,0.7666666507720947,0.8799999833106995
52,0.45519590377807617,0.6192295551300049,0.0902169793844223,0.06940843164920807,0.0691051185131073,0.26063119769096377,0.8048780560493469,0.7560975551605225,1.0,1.0,1.0,0.9121951222419739
53,0.2702780067920685,0.21860353648662567,0.19031481444835663,0.22189119458198547,0.2257082462310791,0.22535915970802306,0.9179477095603943,0.9289008378982544,0.9460030794143677,0.924673318862915,0.9204457998275757,0.9275941491127014
54,6.891907933237462e-09,5.440395009492782e-11,3.9837355613708496,1.9553067684173584,0.9392116665840149,1.375650800663707,1.0,1.0,0.6468067169189453,0.04352287948131561,0.4467584192752838,0.627417603135109
56,0.0649275854229927,0.05327285826206207,0.15228019654750824,0.06813471764326096,0.0140608549118042,0.07053524255752563,0.9911999702453613,0.9868000149726868,0.9336000084877014,0.9656000137329102,0.9980000257492065,0.9750400066375733
57,0.06583476811647415,0.31281131505966187,0.02373320236802101,0.014290806837379932,0.014620032161474228,0.08625802490860224,0.9897260069847107,0.9494863152503967,0.9950342178344727,0.9955479502677917,0.9967465996742249,0.9853082180023194
60,0.3881056606769562,0.2845577597618103,0.26876702904701233,0.2659209370613098,0.30751848220825195,0.3029739737510681,0.871345043182373,0.9181286692619324,0.9239766001701355,0.9005848169326782,0.8771929740905762,0.8982456207275391
64,0.0029628390911966562,0.0024245334789156914,0.0017342983046546578,0.6914899945259094,0.4241574704647064,0.22455382717307656,1.0,1.0,1.0,0.5,0.8333333134651184,0.8666666626930237
66,9.933662113326136e-06,3.2525440474273637e-06,9.916516304016113,0.0001524961116956547,2.7245375804341165e-06,1.9833369421743101,1.0,1.0,0.0,1.0,1.0,0.8
